participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20160	BHRC	2	-82	1			1		1	Pass
20161	BHRC	1	-81	1	0.5				0.75	Artifact
20163	BHRC	1	-59	1			1		1	Pass
20163	BHRC	2	-48	1	1	1	1	1	1	Pass
20168	BHRC	1	-27			1	1	1	1	Pass
20168	BHRC	2	-21			1	1	0.75	0.916666667	Artifact
20170	BHRC	1	-85			1	1	1	1	Pass
20170	BHRC	2	-49	1	1	1	1	1	1	Pass
20171	BHRC	1	-100	1	1	1	1	1	1	Pass
20172	BHRC	1	-63		1	1		1	1	Pass
20174	BHRC	3	-52			1	1	1	1	Pass
20178	BHRC	2	-86		1	1		1	1	Pass
20182	BHRC	1	-60		1	1		1	1	Pass
20182	BHRC	2	-52		1	1		1	1	Pass
20184	BHRC	2	-75			1	1	1	1	Pass
20191	BHRC	1	-69	1	1	1	1	1	1	Pass
20193	BHRC	1	-56	1	1	1	1	1	1	Pass
20195	BHRC	1	-118		1	1		1	1	Pass
20198	BHRC	1	-74	1	1	1	1	1	1	Pass
20198	BHRC	2	-56	1			1		1	Pass
20204	BHRC	1	-54		1	1		1	1	Pass
20208	BHRC	1	-50	1	1				1	Pass
20212	BHRC	1	-84		1	1		1	1	Pass
20213	BHRC	2	-43	1	1	1	1	1	1	Pass
20214	BHRC	1	-96	1	1	1	1	1	1	Pass
20214	BHRC	2	-65	1			1		1	Pass
20215	BHRC	1	-63			1	1	1	1	Pass
20215	BHRC	2	-59	1	1				1	Pass
20221	BHRC	1	-63		1	1		1	1	Pass
20222	BHRC	1	-55	1	1				1	Pass
20228	BHRC	1	-76	1	1				1	Pass
20228	BHRC	2	-70	1	1	1	1	1	1	Pass
20230	BHRC	1	-59			1	1	0.75	0.916666667	Artifact
20230	BHRC	2	-56		1	1		1	1	Pass
20231	BHRC	1	-81			1	1	1	1	Pass
20231	BHRC	2	-82	1	1				1	Pass
20232	BHRC	1	-102	1			1		1	Pass
20237	BHRC	1	-44		1	1		1	1	Pass
20245	BHRC	1	-88		1	1		1	1	Pass
20245	BHRC	2	-73	1	0.75				0.875	Artifact
20255	BHRC	1	-70	1			1		1	Pass
20263	BHRC	1	-131		1	1		1	1	Pass
20263	BHRC	2	-97		1	1		1	1	Pass
